N,edges
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
10000,69972
