tweet_id	text	author_id	in_reply_to_user_id	quoted	retweeted	mentions	replied_to
1596335031634436096	Fair dinkum whoever brings in online voting gets my vote. https://t.co/hNFwXYe2Vc	93786592		1.59632010824661e+18			
1596335032561725440	RT @KimDotcom: The #DiedSuddenly documentary creates a panic amongst the propaganda media which has sold the Covid vaccines 24/7. That’s gr…	1257721925624832002			1.5961710505467617e+18	['611986351']	
1596335032926355458	RT @hodgetwins: Covid and the vaccine push showed us that the corruption is off the charts.	3239076695			1.5963183104417915e+18	['18584875']	
1596335033060843521	RT @RageSheen: If you’re a journalist, there’s still time to mention the thousands of Covid deaths that are happening in Australia this yea…	34550789			1.596284888520745e+18	['1366537530519154689']	
1596335034730184704	RT @shazmamithani: This means getting vaccinated for influenza and COVID, washing your hands, masking in crowded indoor spaces, staying hom…	223682638			1.5959708575493243e+18	['2485704626']	
1596335037724905473	Downtown Denver is circling the drain. Glad I moved out last month. No reason to have parties in a place people might not even make it home. I actively discourage anyone from living in this area. https://t.co/jiq3AhVKGd	811484320783278080		1.5962220605060137e+18			
1596335038093824002	RT @PierreKory: More vaccine commercials masquerading as news stories. They will never stop. Only good thing is how many people can spot th…	1575481153125027840			1.5961443547748884e+18	['2163723997']	
1596335040203751425	RT @Windoctorx: This doesn't make sense to me. If Bill Gates thinks that the world is already overpopulated, then why does he want you to t…	1553381108301156352			1.59588428128888e+18	['909879719734251521']	
1596335040472190976	RT @backtolife_2023: Robert F. Kennedy Jr.: Google is a vaccine company https://t.co/HlrQ5qBfcl	1462255553313325056			1.5958352800319816e+18	['1109532876310302721']	
1596335040484589568	@i_petersen If there's a simple trick to avoid COVID for everybody, you wouldn't want to use that?	15476132	1107100316.0			['1107100316']	1.595807569402278e+18
1596335040908214272	@JustinCarowick @MCBama231 @hodgetwins Because there is no backing to it. People die suddenly all the time with no known medical problems. But you guys believe its tied to COVID Vaccines like some lunatics.	1337121957578481666	1.5215128467266847e+18			['1521512846726684676', '973587875928395776', '18584875']	1.5963288730165903e+18
1596335044007956480	Hundreds of Federal Employees Launch Legal Challenge Against Government’s COVID-19 Vaccine Mandate https://t.co/CXDZ6jSRBm	195717987					
1596335043806638080	"@JamesBradleyCA The argument is that a majority of the nation is vaccinated, so it stands to reason a majority of the deaths are the vaccinated.  WHAT??! We were supposed to get the ""vaccine"" first, to stop the spread, and then to dull the severity of the illness.  Someone lied."	1518871602271772672	1.1127241444271391e+18			['1112724144427139072']	1.5961196852122993e+18
1596335045031170050	RT @MarshaBlackburn: Communist China's failed zero-COVID policy has resulted in record infections, destroyed livelihoods, and created a men…	818468177143365635			1.5962906386049475e+18	['278145569']	
1596335045593092096	RT @RobertKennedyJr: The death last year of a 14-year-old Irish teen 3 weeks after he received Pfizer’s COVID vaccine has sparked a “consid…	1566341542301896704			1.596242318792614e+18	['337808606']	
1596335047027851265	"RT @MeetJess: We have to realize that 2019 life isn’t coming back. COVID will be with us for many years. 
« Living with it » for me means f…"	51235177			1.5962674021359985e+18	['312412918']	
1596335047753478144	Na you just a covid 🤣 https://t.co/i3pLUcF7rX	756234428		1.5960955237985362e+18			
1596335048474923008	"RT @PierreKory: Poor woman dies 7 minutes after her booster… while still in the drugstore.  

Article states that the Coroner concluded tha…"	3021245638			1.5962960706858967e+18	['2163723997']	
1596335048680427521	"RT @NeuroticSlayer: SixTONES’ Kyomoto Taiga has COVID 😭😭😭

He had a fever + sore throat so they had him teSTed and he’s positive 😭 The othe…"	734651323			1.59605524210978e+18	['743977032']	
1596335048789479424	"RT @Arwenstar: “As a film maker, do you support mandatory vaccines on film sets?”

“I support mandatory vaccines. Period.”

Never forget th…"	1400570466893549573			1.5962571726395802e+18	['21947445']	
1596335049540259840	RT @Sloppyhub2: Pretty face 😋 #COVID19 #sloppy #ThroatAddicts #SloppyHeadSissy #sloppyheadlovers #SloppyHeadSissy #head #DEEPTHOAT #preety…	1465993439426891782			1.546172840759763e+18	['1480451176235741184']	
1596335050379100160	@MegaMasterMicro @FraserInstitute The same way the populace caved on covid	1518620192842076160	1.5807158328540897e+18			['1580715832854089728', '23529233']	1.596334118903894e+18
